Brand,Model,Company,Price in India,id,1 stars,2 stars,4 stars,3 stars,5 stars,link,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics,HDMI Port,Ethernet,Battery Life (up to hours),Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info
Asus,G551VW-FI242T,asus,"₹ 98,500",11,0,0,17,17,67,https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,12,16GB,15.60-inch,No,Black,Windows 10 Home,1TB,G551VW-FI242T,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,Yes,,3840x2160 pixels,802.11 ac,2.7,382.00 x 255.00 x 16.00,4,3,G Series,Yes,No,2.6 GHz,Nvidia GeForce GTX 960M,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,6,Touchpad,3 x USB 3.0,6MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,,GDDR5,16GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-au620tx,hp,"₹ 56,950",12,75,0,0,0,25,https://gadgets.ndtv.com/hp-pavilion-15-au620tx-5388,4,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au620tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce,Yes,,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4,1,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,16GB,{'Battery Capacity (mAh)': '6000'}
HP,Pavilion 15-au628tx,hp,"₹ 80,250",13,44,11,0,0,44,https://gadgets.ndtv.com/hp-pavilion-15-au628tx-5391,9,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au628tx,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,1,Pavilion,Yes,No,2.7 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,4MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,9,DDR3,16GB,{'Web Camera': '0.3-megapixel'}
HP,15-ay006tx,hp,"₹ 35,799",14,0,0,33,0,67,https://gadgets.ndtv.com/hp-15-ay006tx-5093,3,4GB,15.60-inch,No,Silver,DOS,500GB,15-ay006tx,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4,3,,Yes,No,2 GHz,AMD Radeon R5 M430,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,6,DDR3,8GB,{'Web Camera': '0.3-megapixel'}
Xiaomi,Mi 10i,xiaomi,,15,0,0,0,0,0,https://gadgets.ndtv.com/xiaomi-mi-10i-price-in-india-98985,,6GB,,,,Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,165.38 x 76.80 x 9.00,,,,,,,,,,,,,,,,,,,,,,,,"{'Web Camera': '2-megapixel', 'VGA Port': 'No'}"
Lenovo,G50 45,lenovo,"₹ 17,990",16,18,8,22,13,39,https://gadgets.ndtv.com/lenovo-g50-45-4930,277,8GB,15.60-inch,No,Silver,Windows 8.1,1TB,G50 45,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.5,384.00 x 265.00 x 25.00,4,3,G Series,Yes,No,2 GHz,AMD R5 M230,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,Yes,2 in 1 Card Reader,Yes,Yes,Yes,10/100/1000 Base T,4,DDR3,16GB,{'Web Camera': '2-megapixel'}
Samsung,Galaxy S21+,samsung,,17,0,0,0,0,0,https://gadgets.ndtv.com/samsung-galaxy-s21-plus-price-in-india-98938,,8GB,,,,Android 11,,,2.4GHz octa-core (3x2.8GHz + 4x2.4GHz + 1x2.9GHz),,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,161.40 x 75.60 x 7.80,,,,,,,,,,,,,,,,,,,,,,,,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-ba021ax,hp,"₹ 32,490",18,24,6,22,11,37,https://gadgets.ndtv.com/hp-pavilion-15-ba021ax-5376,79,4GB,15.60-inch,No,Silver,DOS,1TB,15-ba021ax,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,No,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4.1,3,Pavilion,Yes,No,2.4 GHz,Intel Integrated Graphics / Nvidia GeForce 940MX,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,Multi format card reader,Yes,No,Standard,,4,,16GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-au009tx,hp,"₹ 72,249",19,16,0,21,0,63,https://gadgets.ndtv.com/hp-pavilion-15-au009tx-5228,19,8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au009tx,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,4.2,3,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",4MB,Yes,Yes,Multi format card reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,8GB,"{'Web Camera': '0.3-megapixel', 'VGA Port': 'No'}"
MSI,PS63 Modern 8RC,msi,"₹ 102,000",20,0,0,0,33,67,https://gadgets.ndtv.com/msi-ps63-modern-8rc-12957,3,16GB,15.60-inch,512GB,Carbon Gray,Windows 10,,PS63 Modern 8RC,Intel Core i7 8th Gen i7-8565U,Nvidia GeForce GTX 1050,Yes,Yes,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,233.70 x 356.80 x 15.90,5,4,Prestige,Yes,No,1.8 GHz,Nvidia GeForce GTX 1050,"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",,4,Trackpad,"2 x USB 3.1 Gen 1 (Type A), 1 x USB 3.1 Gen 1 (Type C), 1 x USB 3.1 Gen 2 (Type A)",,No,2 Speakers,1 Micro SD Card Reader,No,Yes,Standard,,16,GDDR5,,
Acer,TravelMate P2 TMP259-G2-MG,acer,"₹ 42,900",21,15,5,23,8,49,https://gadgets.ndtv.com/acer-travelmate-p2-tmp259-g2-mg-5312,122,8GB,15.60-inch,No,Black,Windows 10 Professional,1TB,TMP259-G2-MG,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.2,381.60 x 259.00 x 30.20,4.2,3,TravelMate P2,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,,2 Speakers,SD Card Reader,Yes,Yes,Yes,Gigabit Ethernet,8,GDDR5,32GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-ab522tx,hp,"₹ 59,190",22,11,2,22,6,60,https://gadgets.ndtv.com/hp-pavilion-15-ab522tx-5223,65,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-ab522tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,No,1366x768 pixels,802.11 b/g/n,2.09,384.50 x 2611.00 x 25.20,4,3,Pavilion,Yes,No,2.3 GHz,Nvidia GeForce 940M,"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,4.5,DDR3L,8GB,
HP,Pavilion 15-ac179tx,hp,"₹ 43,690",23,36,9,18,0,36,https://gadgets.ndtv.com/hp-pavilion-15-ac179tx-5232,11,4GB,15.60-inch,No,Turbo Silver,DOS,1TB,15-ac179tx,Intel Core i5 6th Gen I5 6200U,Nvidia GeForce 820M,Yes,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4,3,Pavilion,Yes,No,2.2 GHz,Nvidia GeForce 820M,"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,,5,DDR3,8GB,{'Web Camera': '0.3-megapixel'}
Asus,R558UQ-DM540D,asus,"₹ 40,999",24,12,6,15,9,58,https://gadgets.ndtv.com/asus-r558uq-dm540d-5336,33,4GB,15.60-inch,No,Gold,DOS,1TB,R558UQ-DM540D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,,1080x1920 pixels,802.11 ac,2.1,256.00 x 382.00 x 26.00,4,3,R Series,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,Yes,SD Card Reader,Yes,Yes,Standard,10/100/1000 Base T,4.5,GDDR3,12GB,
Asus,R558UQ-DM701D,asus,"₹ 51,990",25,28,3,11,8,50,https://gadgets.ndtv.com/asus-r558uq-dm701d-5338,36,8GB,15.60-inch,No,Black,DOS,1TB,R558UQ-DM701D,Intel Core i7 7th Gen 7500U,Intel Integrated HD Graphics 5500,No,No,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 256.00 x 25.50,4,2,R Series,Yes,No,2.7 GHz,Intel Integrated HD Graphics 5500,"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0",4MB,Yes,2 Speakers,Multi format card reader,Yes,No,Standard,Gigabit Ethernet,4.5,,12GB,{'Web Camera': '0.3-megapixel'}
Asus,R558UF-DM175D,asus,"₹ 44,390",26,0,0,36,14,50,https://gadgets.ndtv.com/asus-r558uf-dm175d-5146,14,4GB,15.60-inch,No,Gold,Windows 10 Home,2TB,R558UF-DM175D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,4,2,R Series,Yes,No,2.8 GHz,Nvidia GeForce 930M,"Asus R558UF-DM175D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0",3MB,,Yes,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,4.5,DDR3,12GB,"{'Web Camera': '0.3-megapixel', 'VGA Port': 'No', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '37', 'Burst Clock Speed': '2400 GHz', 'Backlit Keyboard': 'No', 'RJ11': 'No', 'Launched': 'January 2019', 'Model Name': 'iBall CompBook Netizen', 'Material': 'PC, ABS Plastic', 'eMMC': '64GB'}"
HP,14-ac153tx,hp,"₹ 35,999",27,10,10,15,18,46,https://gadgets.ndtv.com/hp-14-ac153tx-5068,39,4GB,14.00-inch,No,Turbo Silver,Windows 10 Home,1TB,14-ac153tx,Intel Core i3 5th Gen 6100U,AMD Radeon R5 M330,Yes,,1366x768 pixels,802.11 b/g/n,1.94,345.40 x 241.50 x 23.90,4,3,,Yes,No,2 GHz,AMD Radeon R5 M330,"HP 14-AC153TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 14 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,4,DDR3,8GB,
HP,15-an003tx,hp,"₹ 63,899",28,22,11,11,0,56,https://gadgets.ndtv.com/hp-15-an003tx-5241,9,8GB,15.60-inch,No,Black,Windows 10 Home,1TB,15-an003tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n/ac,2.09,384.50 x 261.10 x 25.20,4,3,,Yes,No,2.3 GHz,Nvidia GeForce 940M,"HP Star Wars 15-AN003TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,4.5,DDR3L,16GB,{'Web Camera': '0.3-megapixel'}
HP,15-ay507tx,hp,"₹ 47,500",29,31,0,23,8,38,https://gadgets.ndtv.com/hp-15-ay507tx-5255,13,8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-ay507tx,Intel Core i5 6th Gen 6200U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4,3,,Yes,No,2.3 GHz,AMD Radeon R5 M430,"HP 15-AY507TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,16GB,{'Web Camera': '0.3-megapixel'}
HP,Pavilion 15-AB027TX,hp,"₹ 44,999",30,25,4,4,13,54,https://gadgets.ndtv.com/hp-pavilion-15-ab027tx-5053,24,4GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-AB027TX,Intel Core i3 5th Gen 5010U,AMD Radeon R7 M360,Yes,No,1920x1080 pixels,802.11 b/g/n,2.29,384.56 x 261.11 x 25.15,4,3,Pavilion,Yes,No,2.1 GHz,AMD Radeon R7 M360,"HP Pavilion 15-AB027TX Laptop (Windows 8.1, 4GB RAM, 1000GB HDD, Intel Core i3, Natural Silver, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,Yes,Multi format card reader,Yes,Yes,Standard,10/100 Base T,,DDR3,16GB,
HP,Pavilion 15-ab032tx,hp,"₹ 53,800",31,5,3,24,3,66,https://gadgets.ndtv.com/hp-pavilion-15-ab032tx-5063,38,8GB,15.60-inch,No,Silver,Windows 8.1,1TB,15-ab032tx,Intel Core i5 5th Gen 5200U,Nvidia GeForce 940M,Yes,,1920x1080 pixels,802.11 b/g/n,2.29,384.50 x 261.10 x 25.20,4,3,Pavilion,Yes,No,2.2 GHz,Nvidia GeForce 940M,"HP 15-AB032TX Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 T,,DDR3L,16GB,{'Battery Capacity (mAh)': '6000'}
HP,Pavilion 15-au084tx,hp,"₹ 58,174",32,35,8,12,15,31,https://gadgets.ndtv.com/hp-pavilion-15-au084tx-5230,26,4GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au084tx,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,4.2,3,Pavilion,Yes,No,2.3 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU084TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",,2,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,,DDR3,16GB,{'Web Camera': '2-megapixel'}
Asus,R558UF-DM176D,asus,"₹ 40,900",33,17,0,17,17,50,https://gadgets.ndtv.com/asus-r558uf-dm176d-5164,6,4GB,15.60-inch,No,Red,Windows 10 Home,1TB,R558UF-DM176D,Intel Core i5 6th Gen 6200U,Nvidia GeForce 930M,Yes,,1920x1080 pixels,802.11 b/g/n,2.3,382.00 x 258.00 x 25.50,4,3,X Series,Yes,No,2.3 GHz,Nvidia GeForce 930M,"Asus R558UF-DM176D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Red, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,Integrated 10/100,6,DDR3,12GB,{'Web Camera': '2-megapixel'}
HP,Pavilion 15-au006tx,hp,"₹ 59,355",34,16,4,27,9,44,https://gadgets.ndtv.com/hp-pavilion-15-au006tx-5226,187,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au006tx,Intel Core i5 6th Gen 6200U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,4,3,Pavilion,Yes,No,2.3 GHz,AMD Radeon R5 M430,"HP Pavilion 15-AU006TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,,DDR3,16GB,"{'RAM Slots': 1, 'Web Camera': 'Yes', 'Headphone and Mic Combo Jack': 'Yes', 'Battery Capacity (WHR)': '72', 'Backlit Keyboard': 'Yes', 'Launched': '11th December 2019'}"
Acer,Aspire E E5-575,acer,"₹ 26,980",35,9,4,25,10,53,https://gadgets.ndtv.com/acer-aspire-e-e5-575-5127,481,4GB,15.60-inch,No,Black,Windows 10 Home,1TB,E5-575,Intel Core i5 7th Gen 7200U,Intel HD Graphics 520,No,No,1366x768 pixels,802.11 ac,2.2,381.60 x 259.00 x 30.20,4.1,3,Aspire E,Yes,No,2.3 GHz,Intel HD Graphics 520,"Acer Aspire E E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Yes,Yes,No,Yes,10/100/1000 Base T,5,DDR4,32GB,{'Battery Capacity (WHR)': '72'}
